"biannual_date","key","biannual_cases_C","biannual_cases_CP","onekm","twokm","threekm","fourkm","fivekm","tenkm","fifteenkm","twentykm","thirtykm","fortykm","population","urban","ag","all_cutoffs","clust","mean_temp","sum_precip","mean_temp_centered","mean_temp_centered_sq","sum_precip_centered","sum_precip_centered_sq"
2000-04-01,1,0,0,"1","1","1","1","1","1","1","1","1","1",7650.39399592626,11.6972112734097,34.4906162010372,1,1,296.722904193695,0.174877033127286,-0.775214649280997,0.600957752459859,-0.184453354012023,0.0340230398062848
2000-04-01,2,0,0,"1","1","1","1","1","1","1","1","1","1",230.039709929516,11.5356278834072,33.130235519894,1,1,296.722989730604,0.174999409877783,-0.775129112372042,0.60082514084667,-0.184330977261526,0.0339779091781893
2000-04-01,3,0,0,"0","0","0","0","0","0","1","1","1","1",1550.00980045725,0,12.0602567380831,4,4,296.622764063847,0.180449440865722,-0.8753547791286,0.766245989343279,-0.178880946273588,0.0319983929397342
2000-04-01,4,0,0,"1","1","1","1","1","1","1","1","1","1",696.427828726336,9.98633628954918,31.02076471047,1,1,296.71303174202,0.172038421526441,-0.785087100955536,0.616361756086768,-0.187291965612869,0.035078280383132
2000-04-01,5,0,0,"0","0","0","0","0","0","0","0","0","1",134.667873648265,0,0.744340563232424,7,27,296.884306764546,0.122120211518498,-0.61381207842993,0.376765267626471,-0.237210175620812,0.0562686674180564
2000-04-01,6,0,0,"0","0","0","0","0","0","0","0","0","1",413.249498542177,0,1.18429323528741,7,6,296.899640077317,0.153143392792302,-0.598478765658513,0.358176832944137,-0.206186994347008,0.042513076637853
2000-04-01,7,0,0,"0","0","0","0","0","0","0","0","0","0",53.8015942617346,0,0.850594734130861,0,2,296.915433060795,0.0948420187075973,-0.582685782180363,0.339522720755141,-0.264488368431712,0.0699540970356692
2000-04-01,8,0,0,"0","0","0","0","0","0","0","0","0","0",287.362294171913,0,0.312565111022949,0,7,296.840533662816,0.112139992098973,-0.657585180159913,0.432418269165945,-0.247190395040337,0.0611030914001977
2000-04-01,9,0,0,"1","1","1","1","1","1","1","1","1","1",675.851138737113,10.9601870383503,32.5330677924934,1,1,296.720100723762,0.159190112037525,-0.778018119213812,0.605312193824997,-0.200140275101785,0.0400561297178182
2000-04-01,10,1,1,"0","0","1","1","1","1","1","1","1","1",940.384811610942,1.00661883448151,38.9989464651195,2,3,296.712323973429,0.162131667813772,-0.785794869546578,0.617473577005723,-0.197198719325538,0.0388873349036322
2000-04-01,11,0,0,"0","0","0","0","0","1","1","1","1","1",895.925547991486,0.57169633598154,27.7229226019997,3,3,296.714093087537,0.143125743367942,-0.78402575543862,0.614696385191099,-0.216204643771367,0.0467444479883038
2000-04-01,12,0,0,"0","0","0","1","1","1","1","1","1","1",458.959679148798,3.03760083907014,32.107171936489,2,3,296.717160736275,0.142619797989283,-0.780958106700268,0.609895564420868,-0.216710589150026,0.0469634794497514
2000-04-01,13,0,0,"1","1","1","1","1","1","1","1","1","1",567.930784120986,10.5253758317706,30.6703979630888,1,1,296.719333241438,0.12598997869384,-0.778785601538061,0.606507013163,-0.23334040844547,0.0544477462134988
2000-04-01,14,0,0,"0","1","1","1","1","1","1","1","1","1",4872.58527077772,12.0172089280856,35.7930203836333,2,1,296.723017156594,0.135013875597652,-0.775101686381561,0.600782624231539,-0.224316511541657,0.0503178973502185
2000-04-01,15,0,0,"0","0","0","0","1","1","1","1","1","1",209.290422191824,7.39312618627621,34.3252222702702,2,1,296.723017156594,0.143867244489302,-0.775101686381561,0.600782624231539,-0.215463142650008,0.0464243658406177
2000-04-01,16,0,0,"0","0","0","0","1","1","1","1","1","1",154.716703606305,0.332233889011757,36.1788707743675,2,11,296.673679285651,0.132984861963924,-0.824439557324922,0.679700583682114,-0.226345525175385,0.051232296766921
2000-04-01,17,0,0,"1","1","1","1","1","1","1","1","1","1",770.489137902753,0,50.0517002241557,1,10,296.642608333346,0.173145997263975,-0.855510509629539,0.731898232086594,-0.186184389875335,0.0346646270332507
2000-04-01,18,0,0,"1","1","1","1","1","1","1","1","1","1",384.229054727153,0,46.653898077095,1,8,296.671101905233,0.137389364079523,-0.827016937742371,0.683957015312769,-0.221941023059787,0.0492578177168249
2000-04-01,19,0,0,"0","1","1","1","1","1","1","1","1","1",1637.0112775899,11.8339769736566,36.2454654314812,2,1,296.723017156594,0.150507271158039,-0.775101686381561,0.600782624231539,-0.208823115981271,0.0436070937681273
2000-04-01,20,0,0,"0","0","0","0","0","0","1","1","1","1",1003.88693069647,0,13.8628119810421,4,11,296.663543532398,0.141139044063013,-0.834575310578032,0.696515949026418,-0.218191343076297,0.0476074621934382
2000-04-01,21,0,0,"0","0","0","0","0","0","1","1","1","1",240.568922173166,0,15.0620190318251,4,5,296.604153488254,0.130794436848451,-0.893965354721843,0.79917405544295,-0.228535950290858,0.0522286805753457
2000-04-01,22,0,0,"0","0","0","0","0","1","1","1","1","1",316.581871441953,0,26.7011297283934,3,5,296.653469535015,0.14944751325259,-0.844649307960765,0.713432453438599,-0.209882873886719,0.0440508207509486
2000-04-01,23,1,1,"0","0","0","0","0","1","1","1","1","1",1449.18771513557,0.206808261047363,12.5731653522892,3,35,296.562779045105,0.151332525989438,-0.935339797870654,0.874860537480716,-0.207997861149871,0.0432631102429212
